1012345665,MultiProductos,Av. El Sol 165 Chorrillos,987123231,
1012345678,Distribuidora Alimentos SAC,Av. Gran Mercado 123 Lima,987654311,www.alimentosdistrib.com
1012348910,Bebidas del Norte,Av. Hidratación 123 Piura,987654314,www.bebidasnorte.com
1012839465,Estilo Andino,Calle Cultura 456 Cusco,987654327,www.estiloandino.com
1012847395,Complementos SAC,Av. Estilo 123 Lima,987654332,www.complementossac.com
1012948573,Mascota Feliz,Jr. Patitas 789 Chiclayo,987654340,www.mascotafeliz.com
1013462897,Brillo y Limpieza,Jr. Brillante 789 Arequipa,987654319,www.brillolimpieza.com
1013847592,Pet Distribuidor,Av. Mascotas 123 Lima,987654338,www.petdistribuidor.com
1014567892,Elixir del Sur,Calle Bebidas 456 Tacna,987654315,www.elixirsur.com
1015748392,Salud Total SAC,Jr. Medicinas 789 Lima,987654337,www.saludtotalsac.com
1016789123,Sabores Andinos,Jr. Tradición 789 Arequipa,987654313,www.saboresandinos.com
1016789456,Refrescos Andinos,Jr. Sierra 789 Huancayo,987654316,www.refrescosandinos.com
1017638492,Distribuidora Higiene,Calle Limpieza 456 Trujillo,987654318,www.higienedistrib.com
1018394752,FarmAndes,Calle Bienestar 456 Cusco,987654336,www.farmandes.com